key_id,key,factoid_id,fact,counter
89," ist eine Umwandlung der Lautschrift in das entsp..."",89,"\"http://wiki.ubuntuusers.de/Schriftunterst(c3bc)tzung Ubuntu hat eine ausgezeichnete Unterstuetzung fuer die Eingabe verschiedener Schriftsysteme #z.B. asiatische",0
79,""7 mal 7"",79,"\"<reply> feiner sand ;p\"",0
92,""bist du opensource"",92,"\"<reply> nein\"",0
102,""jabber in pidgin"",102,"\"unter dem Protokoll XMPP zu finden\"",0
87,""sag das"",87,"\"selbsterklaerend einfach\"",0
97,""say Befehle"",97,"\"ja keine Fragen und brauchen deshalb auch kein Fragezeichen.\"",0
77,""user modes"",77,"\"<redir> modes\"",0
65,""was weisst du denn"",65,"\"<reply> nix!\"",0
118,".asoundrc",118,"Informationen zu .asoundrc finden sich im Wiki unter http://wiki.ubuntuusers.de/.asoundrc",0
119,".desktop_Dateien",119,"Informationen zu .desktop_Dateien finden sich im Wiki unter http://wiki.ubuntuusers.de/.desktop_Dateien",0
120,".is_audio_player",120,"Informationen zu .is_audio_player finden sich im Wiki unter http://wiki.ubuntuusers.de/.is_audio_player",0
73,"03.02.2009-11:26:00",73,"\"<reply> chroot steht fuer change root und ist eine Funktion auf Unix-Systemen um das Rootverzeichnis zu aendern. Es bietet somit eine Moeglichkeit",0
68,"04.07.2008-08:53:03",68,"\"<reply> nein",0
90,"07.08.2007-00:22:52",90,"\"<reply> yw steht fuer you're welcome",0
121,"10-x11-input.fdi",121,"Informationen zu 10-x11-input.fdi finden sich im Wiki unter http://wiki.ubuntuusers.de/10-x11-input.fdi",0
84,"15.11.2008-22:27:09",84,"\"http://wiki.ubuntuusers.de/Chemie Kalzium ist Teil des #:KDE:# Bildungs-Projektes: http://edu.kde.org und stellt zahlreiche",0
88,"18.01.2009-18:19:21",88,"\"kurz fuer Uniform Resource Locator",0
122,"3D-Desktop",122,"Informationen zu 3D-Desktop finden sich im Wiki unter http://wiki.ubuntuusers.de/3D-Desktop",0
4384,"512",4384,"Ein IRC-Paket hat eine maximale Laenge von 512 Byte. Wenn deine Zeile zu lang ist, schneidet mein Client den Rest ab. Deshalb haben wir nur den Anfang deiner Zeile lesen koennen. Bedenke auch, dass ein Teil protokoll-intern genutzt wird und dir deshalb nicht die ganzen 512 Zeichen zur Verfuegung stehen. Auch die we",2
123,"64-Bit",123,"Informationen zu 64-Bit finden sich im Wiki unter http://wiki.ubuntuusers.de/64-Bit",0
124,"64-Bit-Architektur",124,"Informationen zu 64-Bit-Architektur finden sich im Wiki unter http://wiki.ubuntuusers.de/64-Bit-Architektur",0
125,"64bit-Architektur",125,"Informationen zu 64bit-Architektur finden sich im Wiki unter http://wiki.ubuntuusers.de/64bit-Architektur",0
126,"7z",126,"Informationen zu 7z finden sich im Wiki unter http://wiki.ubuntuusers.de/7z",0
142,"ACL",142,"Informationen zu ACL finden sich im Wiki unter http://wiki.ubuntuusers.de/ACL",0
17,"APT",17,"Informationen zu APT finden sich im Wiki unter http://wiki.ubuntuusers.de/APT",0
215,"APTonCD",215,"Informationen zu APTonCD finden sich im Wiki unter http://wiki.ubuntuusers.de/APTonCD",0
219,"AQEMU",219,"Informationen zu AQEMU finden sich im Wiki unter http://wiki.ubuntuusers.de/AQEMU",0
650,"ASCII-Art",650,"Informationen zu ASCII-Art finden sich im Wiki unter http://wiki.ubuntuusers.de/ASCII-Art",0
651,"ASCII-Art/nfo_Dateien",651,"Informationen zu ASCII-Art/nfo_Dateien finden sich im Wiki unter http://wiki.ubuntuusers.de/ASCII-Art/nfo_Dateien",0
657,"ASURO",657,"Informationen zu ASURO finden sich im Wiki unter http://wiki.ubuntuusers.de/ASURO",0
660,"ATI-Grafikkarten",660,"Informationen zu ATI-Grafikkarten finden sich im Wiki unter http://wiki.ubuntuusers.de/ATI-Grafikkarten",0
661,"ATI-Grafikkarten/fglrx",661,"Informationen zu ATI-Grafikkarten/fglrx finden sich im Wiki unter http://wiki.ubuntuusers.de/ATI-Grafikkarten/fglrx",0
662,"ATI-Grafikkarten/fglrx/Manuelle_Treiberinstallation",662,"Informationen zu ATI-Grafikkarten/fglrx/Manuelle_Treiberinstallation finden sich im Wiki unter http://wiki.ubuntuusers.de/ATI-Grafikkarten/fglrx/Manuelle_Treiberinstallation",0
